CustomerID,CustomerName,Region,CustomerSince,CustomerAge,TotalSpend,CustomerStatus
1125,Mary Davis,South,2024-08-04,52,2424.76,Regular
1126,Samantha Williams,East,2025-06-25,42,221.28,Regular
1127,Cynthia Young,South,2025-06-08,64,5062.92,Regular
1128,Emma Parker,West,2024-04-17,18,22975.57,Regular
1129,Nicholas Gutierrez,East,2025-02-21,57,5175.67,Regular
1130,Eric Walker,East,2025-07-18,55,13291.64,Regular
1131,Brian Cooper,East,2024-04-05,28,2970.69,Regular
1132,Nicole Collins,East,2024-01-16,43,15683.22,Regular
1134,Mark White,West,2025-01-16,42,1671.81,Regular
1135,Donna Miller,East,2025-09-23,34,110.64,New
1136,Stephanie Adams,Central,2025-05-15,37,7852.41,Regular
1137,Michelle Wilson,Central,2025-04-01,47,3722.2,Regular
1139,Donald Allen,Central,2025-07-16,54,8205.2,Regular
1140,Samuel Richardson,East,2024-11-29,28,0.0,Regular
1141,Kathleen Robinson,East,2024-08-28,62,7768.81,VIP
1142,Raymond Stewart,Central,2020-12-01,26,1834.46,Regular
1143,Gregory Hill,North,2024-07-02,62,6964.42,Regular
1144,Sarah Ortiz,South,2025-10-31,40,10566.24,New
1145,Benjamin Wright,East,2025-05-21,30,2937.74,VIP
1146,Richard Howard,North,2025-04-17,56,451.21,Regular
1147,Matthew Williams,East,2025-11-17,31,0.0,New
1148,Amy Gutierrez,East,2025-04-06,29,10541.87,VIP
1149,Emily James,East,2025-03-07,33,4565.87,Regular
1150,Rebecca Lewis,East,2025-07-13,51,5311.41,Regular
1151,William Edwards,East,2025-03-15,35,3860.66,Regular
1152,Sharon Wilson,West,2025-02-19,46,6106.85,Regular
1153,Justin Carter,East,2024-04-05,36,30758.14,VIP
1156,Pamela White,Central,2024-10-14,59,2947.8,Regular
1157,Edward Hernandez,South,2025-04-11,18,6287.35,Regular
1158,Joshua Morris,East,2024-07-24,25,13629.9,Regular
1160,Samuel Murphy,Central,2025-11-15,21,7642.86,New
1161,Charles Morris,Central,2025-02-20,26,14290.01,Regular
1162,Amy Mendoza,East,2024-10-26,44,5852.09,Regular
1163,Anthony Roberts,East,2025-04-13,49,4878.38,Regular
1164,Paul Robinson,South,2025-07-09,44,4037.79,Regular
1165,Mark Gutierrez,West,2025-04-08,49,8374.06,Regular
1166,Jonathan Wood,East,2024-11-24,18,17044.92,VIP
1167,Elizabeth Thomas,East,2025-04-24,36,7954.97,VIP
1168,Andrew Diaz,East,2025-10-03,43,9520.52,New
1169,Stephanie Rogers,South,2023-12-18,18,6874.48,Regular
1170,Jeffrey James,South,2024-09-23,18,12369.65,Regular
1171,Emily Thomas,West,2023-03-16,34,7129.81,Regular
1172,Barbara Martinez,Central,2025-01-26,61,1484.61,Regular
1174,Jeffrey Brown,South,2025-10-27,55,7948.62,New
1175,Raymond Murphy,Central,2023-12-22,53,741.52,VIP
1176,Jessica Garcia,North,2025-02-06,30,0.0,Regular
1177,Jessica Reyes,Central,2023-01-02,28,24389.25,Regular
1178,Helen Cook,North,2025-08-27,37,3630.34,Regular
1179,Linda Wright,East,2025-09-30,46,18895.3,New
1180,Jennifer Edwards,East,2025-10-01,63,557.27,New
1181,Raymond Martinez,North,2025-11-25,51,6845.74,New
1182,Barbara Moore,West,2025-10-06,22,37086.64,New
1183,Sharon Morris,East,2024-11-15,19,5906.28,Regular
1184,James Parker,West,2025-10-21,59,9391.13,New
1185,Larry Morris,Central,2025-11-05,37,96.91,New
1186,Justin Gutierrez,East,2025-05-05,25,12866.85,Regular
1187,Nancy Brooks,East,2024-11-26,54,843.9,Regular
1188,Katherine Rogers,South,2025-09-24,35,794.32,New
1189,Andrew Morales,West,2025-02-10,41,2968.17,VIP
1190,Nicole Mitchell,North,2024-08-15,43,0.0,Regular
1191,Samuel Morgan,South,2023-08-23,19,0.0,Regular
1192,Matthew Reyes,East,2025-01-06,48,1867.7,Regular
1193,Angela Gonzalez,East,2025-05-13,38,2118.4,Regular
1194,Daniel Martinez,East,2023-02-28,18,3611.38,VIP
1195,Charles Thompson,East,2025-04-26,62,8847.48,Regular
1196,Jacob Gutierrez,South,2025-02-19,60,5362.8,Regular
1197,Kenneth Roberts,East,2025-07-14,64,6150.38,Regular
1199,Karen Peterson,Central,2025-02-09,50,21645.1,Regular
1200,Ashley Morgan,East,2024-01-04,19,1265.73,VIP
1203,David Watson,East,2025-04-07,18,13406.68,Regular
1204,Jason Young,East,2025-05-28,68,11819.2,Regular
1205,Linda Brooks,North,2025-10-20,47,981.05,New
1206,Nicole Garcia,East,2024-09-02,32,13189.11,Regular
1208,Karen Watson,North,2025-03-06,33,3946.53,Regular
1209,Sharon Rogers,West,2024-05-11,33,6452.68,VIP
1210,Debra Jones,East,2025-07-01,18,7875.04,Regular
1211,Melissa Ward,South,2025-10-21,42,3937.76,New
1212,Donald Reed,South,2024-12-05,44,1541.65,Regular
1214,Joshua Hall,North,2024-01-08,58,2803.58,VIP
1215,Amanda Moore,East,2025-10-16,34,4955.13,New
1216,Emily Nguyen,East,2024-10-28,32,1583.47,Regular
1217,Pamela Gonzalez,Central,2024-11-22,54,15984.41,Regular
1218,Helen Brooks,North,2024-09-28,34,1810.24,VIP
1219,Joseph Reed,East,2025-08-07,50,22042.91,VIP
1220,Thomas King,East,2022-04-30,33,2526.88,Regular
1221,Paul Richardson,Central,2024-08-02,18,10324.38,Regular
1223,Thomas Nelson,South,2024-07-23,51,27840.81,Regular
1224,Eric Stewart,North,2025-09-03,18,666.95,New
1225,Jonathan Harris,South,2021-07-14,47,7055.69,Regular
1226,Sandra Hernandez,South,2025-11-07,75,0.0,New
1227,Stephanie Brown,East,2024-09-11,54,2456.09,Regular
1228,Larry Allen,South,2024-08-03,45,0.0,VIP
1229,Matthew Jackson,East,2024-11-25,34,1367.54,Regular
1230,Betty Miller,East,2022-07-29,38,4827.12,VIP
1231,Mark Baker,East,2024-11-07,39,4895.84,Regular
1232,Sharon Rodriguez,East,2025-08-29,36,0.0,Regular
1233,Carol Green,North,2022-08-16,42,13938.22,VIP
1234,Kimberly Johnson,East,2022-08-30,32,7388.04,Regular
1235,Justin Bennett,East,2023-08-16,54,581.84,Regular
1236,Richard Richardson,Central,2025-02-05,23,1686.32,Regular
1237,Karen Gutierrez,West,2025-06-22,20,32631.51,VIP
1238,Gregory Brown,East,2023-02-14,22,5508.62,VIP
1239,Stephanie Scott,South,2025-11-08,46,9006.78,New
1240,Karen James,East,2024-07-28,56,0.0,Regular
1241,Brandon Cooper,West,2024-07-24,19,6242.32,Regular
1242,Lisa Ward,South,2025-04-18,65,0.0,Regular
1243,Gary Sanchez,South,2024-02-25,38,800.18,Regular
1244,Carol Diaz,Central,2025-08-08,44,1319.19,Regular
1245,Amy Garcia,North,2025-09-23,47,6290.95,New
1246,Lisa Rivera,South,2024-06-09,22,45022.66,Regular
1247,Joshua Allen,South,2024-09-10,43,28751.6,Regular
1248,Matthew Richardson,East,2023-07-07,65,5472.4,VIP
1249,Richard Roberts,West,2025-06-11,59,10547.1,Regular
1250,Joseph Scott,East,2022-12-17,25,5483.64,VIP
1251,Michael Perez,West,2024-10-28,42,9900.03,VIP
1252,Carol Martin,South,2025-11-11,50,2799.04,New
1253,Sarah Robinson,East,2024-10-19,48,11061.37,Regular
1255,Susan Collins,East,2024-05-26,35,2304.36,Regular
1256,Jonathan Morgan,East,2025-06-24,26,1628.11,Regular
1257,Susan Lee,Central,2024-04-01,52,506.24,Regular
1258,Laura Gomez,Central,2025-08-11,23,0.0,Regular
1259,Jessica Jones,South,2025-09-26,53,306.27,New
1260,Christine Thomas,East,2024-10-23,19,21116.5,Regular
1261,Jason Flores,Central,2024-02-01,60,6513.33,Regular
1262,Nicole Chavez,South,2022-08-04,38,858.48,Regular
1263,Deborah Howard,East,2025-09-06,68,4674.76,New
1266,Larry Howard,East,2025-02-27,70,1261.9,VIP
1267,Mary Baker,South,2024-06-10,42,9369.57,Regular
1268,Gary Bailey,North,2025-03-30,52,8573.97,Regular
1269,Melissa Lee,East,2024-10-09,59,7613.08,VIP
1271,Gregory Ortiz,East,2024-02-26,26,7849.78,VIP
1272,Karen Cruz,Central,2023-05-21,33,10805.01,Regular
1273,Samantha Edwards,East,2024-10-12,36,1215.15,Regular
1274,Timothy Wright,South,2024-01-21,18,2192.69,Regular
1275,Charles White,North,2025-09-19,36,12390.82,New
1276,Debra Hall,East,2024-07-02,60,27095.81,Regular
1277,Sarah Turner,East,2024-05-14,47,10475.47,VIP
1278,Susan Stewart,Central,2020-12-01,44,4895.42,Regular
1279,Justin Rivera,West,2025-09-23,39,6594.52,New
1281,William Sanchez,South,2025-06-08,44,6379.83,Regular
1283,Patricia Cox,East,2024-09-18,42,3855.06,VIP
1284,Jessica Parker,East,2025-06-27,22,4351.04,Regular
1285,Shirley Perez,South,2024-12-23,43,11934.41,Regular
1286,Brenda Collins,East,2024-09-25,18,177.56,Regular
1288,Anna Adams,East,2025-09-23,33,7150.6,New
1290,Jason Wright,South,2024-02-03,71,0.0,Regular
1291,Charles Bennett,South,2025-05-24,22,2882.05,Regular
1293,Emma Lewis,West,2023-08-06,31,769.56,Regular
1294,Emma Evans,South,2025-08-13,41,4696.52,VIP
1295,Gary Wright,South,2025-04-17,32,12834.94,VIP
1296,Laura Stewart,North,2025-07-14,55,6935.99,VIP
1297,Christopher Rogers,North,2024-02-07,26,5638.78,Regular
1298,Joseph Gonzalez,West,2024-07-03,41,3937.52,Regular
1299,Jacob Nguyen,East,2023-01-20,59,5693.81,Regular
1300,Pamela Bennett,North,2025-05-10,54,21348.96,Regular
1301,Emily Mitchell,West,2025-10-28,41,9292.82,New
1302,Christopher Harris,West,2024-07-03,25,25026.95,Regular
1303,Thomas Brooks,East,2025-06-13,35,0.0,Regular
1304,Carol Kim,West,2025-02-27,18,13322.48,Regular
1305,Brandon King,Central,2025-08-11,29,8447.68,VIP
1306,Betty Cruz,West,2025-01-25,44,13874.33,Regular
1307,Joseph Rodriguez,North,2025-05-15,65,15289.5,Regular
1308,Daniel Jackson,East,2025-09-11,44,0.0,New
1309,Elizabeth Cox,East,2022-11-07,35,2903.46,Regular
1310,Justin Ortiz,East,2024-07-27,34,8177.14,Regular
1311,Scott Nelson,Central,2025-07-11,41,9647.3,Regular
1312,Karen Moore,North,2025-10-16,61,290.92,New
1313,Jennifer Cruz,East,2023-12-25,45,15117.31,Regular
1314,Christopher Jackson,East,2025-07-28,21,12049.5,Regular
1317,Brenda White,North,2024-09-14,34,4253.46,Regular
1318,Carol Lewis,North,2025-01-21,50,3343.52,VIP
1319,Jacob White,West,2024-05-26,61,8378.17,Regular
1320,Scott Wright,South,2024-07-04,45,6528.91,Regular
1321,Timothy Bailey,East,2025-11-28,63,3867.72,New
1322,Ryan Walker,South,2025-11-02,44,1209.58,New
1323,James Brown,Central,2024-12-21,52,19732.33,VIP
1324,Linda Allen,South,2025-10-30,57,2368.75,New
1325,Jonathan Murphy,South,2024-11-01,50,2294.94,Regular
1326,Debra Edwards,South,2025-04-05,55,1264.32,Regular
1327,Lisa Jackson,East,2025-09-10,51,2562.46,New
1328,Paul Stewart,South,2025-05-02,26,3791.94,Regular
1329,Susan Reed,Central,2025-04-17,33,7889.91,Regular
1330,Thomas Roberts,South,2025-06-23,72,532.68,Regular
1331,Pamela Cook,West,2025-08-26,29,0.0,VIP
1333,Katherine Parker,West,2024-07-14,48,24276.2,Regular
1335,Betty Walker,East,2021-04-02,41,16021.73,VIP
1336,Daniel Gonzalez,West,2025-09-16,39,2963.62,New
1337,Joseph Martinez,East,2025-11-08,32,11349.03,New
1338,Gregory Clark,East,2025-09-04,75,3210.59,New
1339,Angela Anderson,North,2025-04-20,40,3709.48,Regular
1340,Timothy Lopez,Central,2023-03-27,46,595.74,Regular
1341,Emily Scott,East,2025-10-21,36,2984.9,New
1342,Stephanie Roberts,East,2024-02-24,75,1417.82,Regular
1343,Joseph James,East,2025-06-13,18,843.9,Regular
1344,Scott Hall,East,2025-05-03,23,11288.12,Regular
1345,Charles Lee,Central,2025-08-15,35,15168.27,VIP
1347,George Thompson,East,2025-11-07,42,0.0,New
1348,Angela James,West,2025-11-13,31,9850.21,New
1349,Melissa Ramos,East,2024-07-12,54,3522.39,Regular
1350,Cynthia Watson,North,2024-12-31,32,0.0,Regular
1351,Ashley Wright,South,2024-10-10,41,3670.82,Regular
1352,Brandon Turner,Central,2022-12-13,36,2886.43,Regular
1353,Andrew Sanchez,East,2021-11-23,52,19899.02,Regular
1354,Joseph Johnson,East,2024-01-04,36,30667.99,Regular
1355,Jessica Reyes,South,2025-01-17,62,2394.43,Regular
1356,Amy Gray,Central,2025-09-21,57,0.0,New
1357,Samuel Thompson,East,2024-05-27,67,8673.8,Regular
1358,John Lewis,East,2025-09-27,50,9216.14,New
1360,Katherine Howard,East,2023-04-11,34,574.41,Regular
1361,Stephanie Torres,North,2025-04-19,32,0.0,Regular
1362,Nancy Edwards,East,2025-10-08,37,5734.01,New
1363,Jessica Hill,North,2022-03-25,27,5261.96,Regular
1364,Richard Edwards,South,2025-09-22,37,6106.05,New
1365,Thomas Lewis,Central,2025-04-21,42,2778.88,VIP
1366,Ronald Ward,East,2025-09-29,53,10690.11,New
1367,John Nelson,Central,2024-06-24,32,0.0,Regular
1368,Benjamin Hall,North,2025-01-18,28,24535.51,Regular
1369,Mark Collins,West,2023-09-25,37,7375.76,Regular
1370,Jacob Green,East,2025-09-21,29,6192.67,New
1371,Sharon James,South,2025-08-27,59,7581.29,VIP
1372,Jacob Hernandez,East,2024-09-07,22,17312.3,VIP
1373,Gregory Adams,East,2025-06-13,50,0.0,Regular
1374,John Mitchell,East,2024-03-20,36,164.79,Regular
1375,Brandon Bennett,Central,2020-12-01,28,3358.93,Regular
1376,Brenda Watson,South,2024-06-27,27,11154.3,Regular
1377,Donna Gomez,Central,2025-08-06,21,632.84,Regular
1378,Christopher Moore,South,2024-01-17,51,4559.71,Regular
1379,Donna Clark,East,2025-01-13,41,23769.59,VIP
1380,James Richardson,West,2025-10-08,47,6347.84,New
1381,Susan Nguyen,Central,2023-05-25,37,17842.8,VIP
1382,Jeffrey Nguyen,South,2024-12-16,28,3426.21,VIP
1383,Betty Martinez,West,2025-10-21,26,2501.51,New
1384,Anna White,South,2025-05-06,43,1522.89,Regular
1385,Mark Nelson,East,2024-06-28,53,13335.4,Regular
1386,Gary Baker,East,2023-12-25,20,9522.05,Regular
1387,Kimberly Gutierrez,East,2025-04-14,71,4376.98,Regular
1388,Nicole Rogers,North,2025-09-10,52,1632.52,New
1389,Kevin Morgan,North,2025-05-12,61,1726.76,VIP
1390,Edward Morgan,East,2025-08-28,55,9079.9,Regular
1391,Raymond Williams,East,2025-05-22,70,574.09,Regular
1392,Paul White,East,2025-06-21,37,2974.7,Regular
1393,Samuel Williams,East,2024-10-01,35,16027.83,Regular
1396,Andrew Roberts,Central,2025-02-12,60,2500.38,Regular
1397,Karen Wilson,North,2025-09-04,45,885.63,New
1398,Nicole Perez,South,2025-10-11,34,0.0,New
1399,Brian Brooks,East,2025-09-21,46,4725.86,New
